sentence_id,screening,label,text
70,-3,-1,Those are the values I want to bring to the presidency and to the White House beginning in January of 1989.
74,-3,-1,"I'm saying that those of us who are elected to positions of political leadership, Jim, have a special responsibility, not only to come up with programs, and I have outlined in detail the very important, very strong program of enforcement as well as drug education prevention."
76,-3,-1,"But if our government itself is doing business with people who we know are engaged in drug profiteering and drug trafficking, if we don't understand that that sends out a very, very bad message to our young people, it's a little difficult for me to understand just how we can reach out to that youngster that I talked about and to young people like her all over the country, and say to them we want to help you."
77,-3,1,"Now, I've outlined in great detail a program for being tough on enforcement at home and abroad, doubling the number of drug enforcement agents, having a hemispheric summit soon after the 20th of January when we bring our democratic neighbors and allies together here in this hemisphere and go to work together."
81,-3,1,And in my state I'm proud to say we've organized a drug education and prevention program which the Federal Drug Enforcement Administration says is a model for the country.
82,-3,-1,We're helping youngsters; we're reaching out to them.
83,-3,-1,"And we're beginning with drug education and prevention beginning in the early elementary grades in every elementary school in our state, and that's the kind of effort we need in every elementary school in the United States of America."
84,-3,-1,"And we've got to begin early, in the first, second and third grade, before our youngsters begin to experiment with these very, very dangerous substances."
85,-3,-1,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country."
86,-3,-1,"If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country."
93,-3,1,It was the Reagan-Bush administration that brought this man to justice.
94,-3,1,"And as the governor of Massachusetts knows, there was no evidence that governor - that Mr. Noriega was involved in drugs, no hard evidence until we indicted him."
95,-3,-1,And so I think it's about time we get this Noriega matter in perspective.
96,-3,-1,Panama is a friendly country.
97,-3,1,"I went down there and talked to the president of Panama about cleaning up their money laundering, and Mr. Noriega was there, but there was no evidence at that time, and when the evidence was there, we indicted him."
98,-3,-1,And we want to bring him to justice.
99,-3,-1,And so call off all those pickets out there that are trying to tear down seven different administrations.
105,-3,-1,"Yes, I've been very specific about those, John."
106,-3,1,"And let me lay out for you my own strategy for bring that deficit down, because as a chief executive that's balanced ten budgets in a row, I've had to make those tough decisions and those tough choices."
107,-3,-1,"First, I've suggested that there are certain weapons systems which we don't need and we can't afford."
112,-3,-1,"Thirdly, we have to bring interest rates down, and we will as we come up with a good, solid plan with the Congress for bringing that deficit down."
115,-3,-1,I've also suggested that on the domestic side there are areas where we can make some cuts.
116,-3,1,"We ought to be able to come up with an agricultural policy in this country that gives our farm families a fair price and a decent future without spending $20-25 billion a year, which is what we've been doing under this administration."
117,-3,-1,"We can help people to live better lives, and at the same time save money by helping hundreds of thousands of families on welfare to get off or welfare, and to become productive citizens again."
119,-3,1,"He seems to want to spend a great deal of money on just about every weapon system; he says he's against new taxes, although he's broken that pledge at least times in the last year that I know of; he wants to give the wealthiest taxpayers in this country a five year, $40 billion tax break."
120,-3,-1,He also wants to spend a lot of money on additional programs.
121,-3,-1,"If he keeps this up, he's going to be the Joe Isuzu of American politics."
132,-3,-1,"There are so many things there, I don't quite know where to begin."
138,-3,-1,So that's one of the things that I think makes a big difference between us.
142,-3,-1,"And it permits - economists on the East Coast and West think it's good - it permits the president to sort out the priorities, and we continue to grow because I will not raise taxes."
148,-3,-1,I think it's the Republican Party and my concern to bring it down.
153,-3,-1,I would like a balanced budget amendment.
154,-3,1,But the dynamics of the economy - we cut the taxes and revenues are up by 25 percent in three years.
155,-3,-1,So the problem is - it's not that the working is being taxed too little or the person working out - the woman working in some factory being taxed too little.
156,-3,-1,It is that we are continuing to spend too much.
158,-3,-1,Permit the president to set the priorities on where we do the spending.
160,-3,-1,And if we - and the - actually this year Congress is doing a little better in controlling the growth of spending.
161,-3,1,Spending was only up something like 4 percent.
162,-3,-1,"So, it isn't that we're taking too little - from taxpayer - we're spending too much still."
163,-3,0,"And the formula I've given you works, we've put it through a good economic model, we've got good economists on the West Coast, Michael Boskin and Marty Feldstein up there who's a very respected economist in the - Massachusetts."
164,-3,-1,"And they agree, that if we can do what I've said, we can get it down without going and socking the American taxpayer once again."
165,-3,-1,"Capital gains, one more point on that, please let's learn from history."
166,-3,-1,"A capital gains differential will increase jobs, increase risk taking, increase revenues to the Federal Government."
168,-3,-1,"Well, I hope all of those Americans out there who are watching us, listening to us and trying to make up their mind about which one of us ought to be president of the United States listen to the Vice President very carefully."
169,-3,1,"What he's proposing after over a trillion in new debt which has been added in the Federal debt in the course of the past eight years, an IOU our children and grandchildren will be paying for years, is a tax cut for the wealthiest one percent of the people in this country, an average of about $30,000 that we're going to give to people making $200,000 a year."
173,-3,-1,"It's time for a chief executive who can make tough choices, can work with the Congress, can get that deficit down and begin to build a strong fiscal foundation under this country."
180,-3,-1,I want to keep this economic recovery going.
181,-3,1,"More Americans at work today than any time in history, a greater percentage of the work force."
182,-3,-1,What I will do is permit people to buy into Medicaid.
183,-3,-1,I believe that's the answer.
185,-3,-1,And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here.
186,-3,-1,But we've got to keep going forward without killing off the engine and throwing people out of work.
187,-3,-1,"So, the answer lies, it seems to me, in full enforcement of the catastrophic program."
188,-3,-1,"It lies to me in flexibility in Medicaid so people at the lowest end can buy in there and get their needs covered and then it also - I do not want to see us mandate across the board that every company has to do this, because I really think that marginal operators are going to go say, ""We can't make it."""
189,-3,-1,And I think then you're going to see that people are put out of work.
192,-3,-1,It either gets passed along as increased prices or it gets passed along by people being put out of work so the business can continue to compete.
193,-3,-1,"So, I think we ought to do it in the Medicaid system."
194,-3,-1,I think we ought to do it by full enforcement of the catastrophic health insurance.
195,-3,-1,I think we ought to do it by everybody doing what they can do out of conscience.
196,-3,-1,It's a terrible problems in terms of flexibility on private insurance.
197,-3,-1,But I just don't want to mandate it and risk putting this - setting the recovery back.
199,-3,-1,"But, George, that's no answer."
200,-3,-1,"You don't like the answer, but it's an answer."
201,-3,1,"Well, no, it's no answer to those 37 million people, most of them members of working families who don't have a dime of health insurance and don't know how to pay the bills if their kids get sick at night."
206,-3,1,My state just became the only state in the nation to provide for universal health care and we did it with the support of the business community and labor and the health care community and with virtually everybody in the state.
208,-3,-1,And I think it's time that when you got a job in this country it came with health insurance.
209,-3,-1,That's the way we're going to provide basic health security for all of the citizens of this country of ours.
217,-3,-1,Because has won the support of a great many people all over the state and I think it's a model for what I hope we can do across the country.
221,-3,-1,"Well, he was wrong then and he's wrong now."
226,-3,-1,Let me say this about AIDS.
229,-3,-1,And I would encourage the current administration to proceed with that kind of flexibility where it's appropriate and where it's done carefully and responsibly.
230,-3,-1,But we have not had the kind of leadership we should have had.
231,-3,-1,"In this particular area, I think the Vice President and I are in general agreement on what we have to do."
233,-3,-1,I think we're both supportive of them and I would strongly lead in that area as I have in my state as Governor.
240,-3,-1,"Testing should be confidential, but we have to have a knowledge."
241,-3,-1,We can't simply stick our heads in the sands in terms of testing.
243,-3,-1,"And you got to be careful here, because there's a safety factor, but I think these things - and then also I am one who believes we've got to go the extra mile in clean - being sure that that blood supply is pure."
245,-3,-1,"So, research, speeding the drugs to market, testing, blood supply are very important elements of this."
259,-3,-1,"Well, I don't question his passion."
260,-3,-1,I question - and I don't question his concern about the war in Vietnam.
263,-3,-1,He - we have a big difference on issues.
265,-3,0,"He said, ""I am a strong liberal Democrat"" - August, '87."
268,-3,-1,He is out there on out of the mainstream.
271,-3,-1,And I wish we had time to let me explain.
272,-3,-1,But I salute him for his passion.
273,-3,-1,"We just have a big difference on where this country should be led, and in what direction it ought to go."
282,-3,-1,But just take a look at the positions of the ACLU.
283,-3,-1,"But, Peter, please understand, the liberals do not like me talking about liberal They don't like it when I say that he says he's a card carrying member."
287,-3,-1,I simply don't want to see the ratings on movies.
289,-3,-1,I like those ratings systems.
290,-3,-1,I don't think they're right to try to take the tax exemption away from the Catholic Church.
295,-3,-1,I don't agree with that.
296,-3,-1,I come from a different point.
297,-3,-1,And I think I'm more in touch with the mainstream of America.
301,-3,-1,I'm not questioning his patriotism.
303,-3,-1,And then all the liberal columnists join in.
305,-3,-1,"I am questioning his judgment on these matters, or where he's coming from He has every right to do it."
307,-3,-1,"And that's all I'm trying to do, is put it in focus."
308,-3,-1,And I hope people don't think that I'm questioning his patriotism when I say he used his words to describe his participation in that organization.
310,-3,-1,"Well, I hope this is the first and last time I have to say this."
311,-3,-1,"Of course, the vice president is questioning my patriotism."
312,-3,-1,"I don't think there's any question about that, and I resent it."
314,-3,0,My parents came to this country as immigrants.
326,-3,-1,"Not labels that we attach to each other, questions about each other's patriotism and loyalty."
334,-3,-1,I believe that that would help in terms of shelter.
335,-3,-1,"I want to see - when I talked at our convention about a thousand points of light, I was talking about the enormous numbers of shelters and organizations that help."
337,-3,0,"My campaign chairman, Secretary Jim Baker's wife."
339,-3,-1,"These are people that care, that are trying to give of themselves."
340,-3,-1,The government has a role.
343,-3,-1,And so I think that we're on the right track.
345,-3,-1,I see an involvement by a thousand points of light.
346,-3,-1,"I see the funding that is required, and I hope the Congress will fully fund this bill."
347,-3,-1,They gave it a great deal of conscience and a great deal of work.
348,-3,-1,And we're on the track on this one.
349,-3,-1,"But - and I, look, mental - that was a little overstated it."
350,-3,-1,I'd say around 30 percent.
351,-3,-1,And I think maybe we could look back over our shoulders and wonder whether it was right to let all those mental patients out.
352,-3,-1,Maybe we need to do a better job in mental clinics to help them.
353,-3,-1,Because there is a major problem there.
358,-3,1,"Well, this is another fundamental difference that I have with the vice president, just as I do in the case of health care for 37 million members of working families in this country who don't have health insurance."
359,-3,1,"The problem, Mr. Bush, is that you've cut back by 90 percent on our commitment to affordable housing for families of low and moderate income."
360,-3,-1,"And when you do that, you've have homeless families."
361,-3,1,"We didn't have two and a half million, or three million homeless people living on streets and in doorways in this country ten years ago."
362,-3,-1,We've got to begin to get back to the business of building and rehabilitating housing for families of low and moderate income in this country; housing for young families that they can look forward some day to buy.
363,-3,-1,We've got communities in this country increasingly where our own kids can't afford to live in the communities that they grew up in.
365,-3,-1,And I think the housing community is ready.
366,-3,-1,"But it's going to take a president who's committed to housing, who's had experience in building and rehabilitating housing who understands that affordable housing for families of low and moderate income, for young families, first time home buyers, is an essential part of the American dream."
367,-3,-1,"And while I'm all for the McKinney bill, that, by itself, simply won't do."
368,-3,-1,"We've got to have a president that can lead on this issue, that can work with the Congress, and I'm prepared to do so."
369,-3,-1,This is one of the most important priorities that faces this country.
373,-3,-1,"Well, I certainly hope not."
375,-3,-1,Mr. Bush talked about values.
383,-3,-1,"Now, that's the kind of leadership that I want to provide as president of the United States."
386,-3,-1,"I've talked to bankers and builders and developers, the housing advocates, community development agencies, and they want leadership from Washington."
389,-3,-1,But governors are ready; mayors are ready.
390,-3,-1,Builders and community leaders are ready.
391,-3,-1,"It will require some funds, John."
392,-3,-1,And we ought to be prepared to provide those funds.
393,-3,-1,"But that, too, will require some choices."
395,-3,-1,"Well, that's a choice we have to make, isn't it?"
396,-3,-1,"Do we spend money on that weapon system in the billions and trillions, or is providing some decent and affordable housing for families of this country something that is at least as important and probably more so."
397,-3,-1,Because it's so essential to our economic strength and to our future.
398,-3,-1,"Now, that's the kind of presidency I believe in."
400,-3,-1,"We need a president who will lead on this issue, who has had experience on this issue."
403,-3,-1,I think the governor is blurring housing and the homeless.
404,-3,-1,Let's talk about housing which the question was.
405,-3,-1,"When you talk to those bankers, did they discuss where interest rates were when your party controlled the White House?"
407,-3,-1,"Now, how does that grab you for increasing housing?"
409,-3,1,We are serving a million more families now.
414,-3,-1,I want to see more vouchers.
415,-3,-1,"I want to see control of some of these projects, and I want to keep the interest rates down."
417,-3,-1,"But if we spend and spend and spend, that is going to wrap up the housing market, and we'll go right back to the days of the misery index and malaise that President Reagan and I have overcome - thank God for the United States on that one."
421,-3,-1,"No, I don't think there is."
422,-3,-1,"There are two very different issues here, and they've got to be dealt with separately."
427,-3,1,It's one of the reasons why we have the lowest murder rate of any industrial state in the country.
429,-3,1,"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute."
433,-3,-1,I don't think most people do.
434,-3,-1,The question is who makes the decision.
435,-3,-1,"And I think it has to be the woman, in the exercise of her own conscience and religious beliefs, that makes that decision."
438,-3,1,It was the only one in the nation that furloughed murderers who had not served enough time to be eligible for parole.
440,-3,1,No other state programs do that.
441,-3,-1,And I favor the death penalty.
443,-3,-1,"But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life."
444,-3,-1,And I do believe it would be inhibiting.
445,-3,-1,"And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland."
447,-3,-1,And so we have a fundamental difference on this one.
450,-3,-1,I do not favor abortion.
458,-3,-1,"But I do know, I do know that I oppose abortion."
464,-3,-1,"Sometimes people feel a little uncomfortable talking about this, but it's much clearer for me now."
470,-3,-1,"Well, I think what the vice president is saying is that he's prepared to brand a woman a criminal for making this decision."
472,-3,-1,"I don't think it's enough to come before the American people who are watching us tonight and say, well, I haven't sorted it out."
473,-3,-1,"This is a very, very difficult and fundamental decision that all of us have to make."
477,-3,-1,"Let me simply say that I think it has to be the woman in the exercise of her own conscience and religious beliefs that makes that decision, and I think that's the right approach, the right decision, and I would hope by this time that Mr. Bush had sorted out this issue and come to terms with it as I have."
479,-3,-1,"But I think it's important that we have a position, that we take it, and we state it to the American people."
488,-3,-1,"But, you see, my fundamental philosophy is give local and state government as much control as possible."
489,-3,-1,"That might be the explanation, if you tell me the program."
491,-3,-1,I think it is good.
493,-3,-1,"But, Peter, so much of it is, gets into a whole other phase of things."
494,-3,-1,"The neighborhood, the kind of environment people are growing up in, and that leads me to the programs I'm talking about in terms of education."
497,-3,-1,And so it's a combination of these things.
498,-3,-1,But do not erode out of the system the thousand points of light.
499,-3,-1,"The people that are out there trying to help these kids, the programs like cities and schools, the work that Barbara Bush is doing so people can learn to read in this country and then go on and break this cycle of poverty."
500,-3,-1,I'm for Head Start and moving that up.
501,-3,-1,"And I've already made a proposal - and yes, it will cost some money."
503,-3,-1,"So these are the combination of things I want, and the fact that I don't think the federal government can endorse a $35 billion program does not mean I have less compassion than the person who endorses such a program."
508,-3,-1,Let me just give you one other example.
512,-3,-1,That's the way you help people.
515,-3,-1,I know what's happened over the course of the past eight years.
524,-3,-1,That's just one example of how you can save money and improve the quality of life at the same time.
526,-3,-1,One of the greatest barriers to opportunity for a family and for those children is the threat that they mat lose their health insurance.
527,-3,-1,Think about that father down there in Houston who has to tell his youngster that he can't play little league ball that he can't go out on the ball field because he's afraid he's going to get hurt.
528,-3,1,"And yet, Mr. Bush says well, I don't think we ought to expect business to provide health insurance for their employees, when responsible employers, a majority of employers in this country do and are paying more for their insurance to reimburse hospitals for free care on account of people that are not insured, that have to go to that hospital."
529,-3,-1,"So these are the ways that you help families, you help youngsters to live better lives, and more decent lives."
530,-3,-1,"Were ready to go to work at the state and local level, all of us."
531,-3,-1,I know the private sector is.
532,-3,0,People are all over the country.
533,-3,-1,But it takes presidential leadership.
534,-3,-1,It takes a commitment to being involved and the leading.
535,-3,-1,And that's the kind of presidency I want to lead.
538,-3,-1,This is the problem I have with the big spending liberals.
542,-3,-1,But here's the point he misses.
545,-3,1,"We're putting more money per child into education, and we are not performing as we should."
547,-3,-1,And I would like to urge the school superintendents and the others around the country to stand up now and keep us moving forward on a path towards real excellence.
549,-3,-1,"But it's not going to be dedicated by some federal bureaucracy in Washington, D.C."
556,-3,-1,Of course that's a charge that's always made against any governor who runs for the presidency.
557,-3,0,I think it was one of the things that Mr. Bush said about Mr. Reagan back in 1980.
560,-3,-1,Its not the amount of time you spend in Washington.
561,-3,-1,It's not the length of your resume.
563,-3,-1,"It's your understanding of the forces of change that are sweeping the world, and whether or not you're in a position to provide leadership to make those forces of change work for us and not against us."
565,-3,-1,But it didn't stop him from endorsing the sale of arms to the Ayatollah.
570,-3,-1,So I don't believe that the fact you've got that long resume or had that experience is the real question.
571,-3,-1,"The question is values; the question is strength, the question is your willingness to provide the kind of leadership that must be provided."
572,-3,-1,I'm ready to provide that leadership.
574,-3,1,"I think it take fresh leadership now, and an understanding of those forces of change to provide the kind of strength that we need, and perhaps the vice president can explain what he was doing when he supported the trading of arms to terrorist nation, and his involvement in Panama and that endorsement of Mr. Macros."
575,-3,-1,But I don't think it's just experience that makes the difference.
578,-3,-1,"Well, I thought the question was about defense."
580,-3,1,"And because we didn't listen to the freeze advocates, and strengthen the defense of this country, we now have the first arms control agreement in the nuclear age."
582,-3,-1,That is not the way you deal with the Soviets.
587,-3,-1,"I few have experience and now how to handle it, but please do not go back to the days when the military was as weak as they could be, when the morale was down, and when we were the laughing stock around the world."
588,-3,-1,"And now we are back, because we have strengthened the defenses of this country, and believe me, I don't want to see us return to those days."
589,-3,0,"As to Ferdinand Marcos, he isn't there any more."
596,-3,1,And he just lifted martial law.
598,-3,-1,And all of those things happened because the Philippines do crave democracy.
604,-3,-1,I don't think it's a question of eliminating.
605,-3,-1,I can tell him some I'm against.
610,-3,-1,"I mean, there's plenty of them that I oppose, but what I am not going to do, when we are negotiating with the Soviet Union, sitting down talking to Mr. Gorbachev about how we achieve a 50 percent reduction in our strategic weapons, I'm not going to give away a couple of aces I that very tough card game."
612,-3,-1,"And under me, when I lead this country, the secretary of defense is going to have to make the choices, between how we keep, how we protect the survivability of our nuclear deployment on the Midgetman missile, or on the Minuteman, whatever it is."
618,-3,-1,I hope it isn't Christmas when you make that decision.
619,-3,-1,wouldn't it be nice to be the ice man so you never make a mistake?
620,-3,-1,"These are the-my answer is do not make these unilateral cuts, and everybody now realizes that peace through strength works, and so this is where I have a big difference."
621,-3,-1,"Of course we're going to have to make some determination on this, and we're going to have to make it on the convention forces."
623,-3,-1,We will do what we do best.
625,-3,-1,It is going to take us to much better advantage in conventional forces.
628,-3,-1,I want to be the one to banish chemical and biological weapons from the face of the earth.
629,-3,-1,But you have to have a little bit of experience to know where to start.
630,-3,-1,And I think I've had that.
634,-3,-1,"I didn't hear, John, exactly where he was going to cut and what he was going to do."
635,-3,-1,"But I know this, we have serious financial problems in this country."
636,-3,1,We've piled up over a trillion dollars in debt and the next president of the United States is going to have to make some choices.
640,-3,-1,I thought the administration was at the negotiating table in Geneva suggesting that we ban mobile missile systems entirely.
641,-3,-1,But those are the choices the next president of the United States is going to have to make.
642,-3,-1,"I'm for the Stealth, I'm for the D-5, I'm for going ahead with the advance Cruise missile."
643,-3,-1,But I don't think we need these other systems.
644,-3,-1,I don't think we need them to remain strong.
653,-3,-1,"Yes, I think it's fine to do business with them."
654,-3,-1,"And, so, I'm encouraged with what I see when I talk to Mr. -- what I hear when I talk to Mr. Gorbachev and Mr. Shevardnadze, but can they pull it off."
656,-3,-1,And now the Soviet Union seems to be walking down that same path.
660,-3,-1,"I'm not going to do that, because I think the jury is still out on the Soviet experiment."
661,-3,-1,And the interesting place-one of the things that fascinates me about this perestroika and glasnost is wheats going to happen in Eastern Europe.
662,-3,-1,You see the turmoil in Poland today.
666,-3,-1,But this is an exciting time.
667,-3,-1,But all I'm suggesting is let's not be naive in dealing with the Soviets and make a lot of unilateral cuts hoping against hope that they will match our bid.
669,-3,-1,"And if we haven't learned from the negotiating history on that, we'll never learn."
671,-3,-1,The Reagan-Bush administration was right.
674,-3,-1,"And you were right then, George, when you said it was no time for partisan demagoguery."
675,-3,-1,"Nobody is suggesting that we unilaterally disarm or somehow reduce our strength, of course not."
676,-3,-1,What we're talking about is a combination of a strong and effective and credible nuclear deterrent.
677,-3,-1,"Strong, well-equipped, well-trained, well-maintained conventional forces."
678,-3,-1,"And at the same time a willingness to move forward steadily, thoughtfully cautiously."
680,-3,-1,"We have very fundamental differences about human rights, democracy and our basic system, our basic view of human beings and of what life is all about."
681,-3,-1,But there are opportunities there now.
682,-3,-1,Senator Bentsen and I have a plan for the 1990's and beyond.
683,-3,-1,Mr. Bush and Mr. Quayle do not.
684,-3,-1,"And we want to pursue that plan in a way which will bring down the level of nuclear armament, will build a more stable and more peaceful world while making choices here at home."
685,-3,-1,Let's not forget that our national security and our economic security go hand in hand.
686,-3,-1,We cannot be strong militarily when we're teeter-tottering on top of a mountain of debt which has been created in the past eight years.
687,-3,-1,That's why we need a Democratic administration in Washington in 1989.
693,-3,-1,"No, there's been no change of heart."
698,-3,-1,"So, I'm for continued research, but I also want strong conventional forces."
701,-3,-1,We know where you're cutting right now.
702,-3,-1,You're cutting into the fiber and muscle of our conventional forces.
704,-3,1,"An Air Force General not too long ago in Europe who said that pretty soon we'd have airplanes without engines, tank commanders who can't drive their tanks more than three-quarters of a mile, because they don't have enough fuel."
707,-3,-1,You have to make choices.
709,-3,-1,"And to spend billions and billions of dollars as Mr. Bush apparently wants to, although, he, himself has been all over the lot on this issue lately-on Star Wars-in my judgment makes no sense at all."
710,-3,-1,"We need a strong, credible, effective nuclear deterrent."
711,-3,1,"We have 13,000 strategic nuclear warheads right now on land, on sea and in the air, enough to blow up the Soviet Union forty times over."
713,-3,-1,"So, we've got to move forward with those negotiations, get the level of strategic weapons down."
715,-3,-1,That's-at least that's what I read.
716,-3,-1,Maybe he'll tell us where he stand on it tonight.
720,-3,-1,Those are two hypo-rhetorical questions.
722,-3,-1,"The armed forces, the conventional forces of the United States have never been more ready."
723,-3,-1,Every single one of the Joint Chiefs will testify to the fact that readiness is in an historic high.
728,-3,-1,"I will fully research it, go forward as fast as we can."
729,-3,-1,"We've set up the levels of funding and when it is deployable, I will deploy it."
737,-3,-1,"Peter, it's one of the most agonizing decisions a president has to make."
740,-3,-1,"But if there's one thing we also understand it is that you cannot make concessions to terrorists, ever, ever."
741,-3,-1,"Because if you do, it's an open invitation to other terrorists to take hostages and to blackmail us."
742,-3,-1,And that's the tragedy of the Iran/Contra scandal.
744,-3,1,"And, yet, after sitting through meeting after meeting, he endorsed that decision, endorsed the sale of arms to the Ayatollah in exchange for hostages, one of the most tragic, one of the most mistaken foreign policy decisions we've ever made in this country and I dare say encouraged others to take hostages as we now know."
745,-3,-1,"So, there can be no concessions under any circumstances, because if we do it's an open invitation to others to do the same."
746,-3,-1,We've got to be tough on international terrorism.
747,-3,-1,We've got to treat it as international crime.
748,-3,-1,"We've got to attack at all points, we've go to use undercover operations."
749,-3,-1,"We have to be prepared to use military force against terrorist base camps, we have to work closely with our allies to make sure that they're working with us and we with them and we can give no quarter when it comes to breaking the back of international terrorism."
751,-3,-1,"That was a tragic mistake that we made, a mistake that Mr. Bush made and others made and it should never ever be made again."
754,-3,-1,It is the best anti-terrorist report written.
755,-3,-1,"Yes, we shouldn't trade arms for hostages."
764,-3,-1,And I've said mistakes were made.
766,-3,-1,That is a very serious charge against the president.
779,-3,-1,You're judged by the whole record.
782,-3,-1,Are we doing better in anti-terrorism?
787,-3,-1,Are the Soviets coming out of Afghanistan?
788,-3,-1,"How does it look in a program he called or some one of these marvelous Boston adjective up there and-about Angola-now, we have a chance-several Bostonians don't like it, but the rest of the country will understand."
791,-3,-1,Now we have a chance.
792,-3,-1,"And, so, I think that I'd leave it right there and say that you judge on the whole record."
793,-3,-1,And let me say this-all he can talk about-he goes around ranting about Noriega.
797,-3,0,I still have a couple of minutes left.
798,-3,-1,And there is a difference principle -
810,-3,-1,"25th of December, Mr. Vice President."
817,-3,1,A report on international terrorism chaired by the Vice President was released and made some very specific recommendations about how to deal with terrorism.
821,-3,-1,Very serious mistakes in judgment were made.
823,-3,1,Has made him a part of our foreign policy and has been funneling aid to Contras through convicted drug dealers.
824,-3,-1,"I think those are very very serious questions of judgment, which those of you who are watching us here tonight have a right to judge and review."
825,-3,-1,We're not going to make those kinds of mistakes.
827,-3,-1,"If you do, you invite the taking of more hostages."
836,-3,-1,I see a man who is young and I am putting my confidence in a whole generation of people that are in their 30's and 40's.
841,-3,-1,And I'd like each person to say did I jump to conclusions running down rumors that were so outrageous and so brutal.
843,-3,-1,And he will do very very well.
844,-3,-1,And he has my full confidence and he'll have the confidence of people that are in their 30's and 40's and more.
845,-3,-1,"So, judge the man on his record not on the-lot of rumors and innuendo and trying to fool around with his name."
848,-3,-1,And he'll do very well when we get into the debates.
851,-3,-1,I think we can agree on that in the course of this campaign.
856,-3,-1,"I think the American people have a right to judge us on this question, on how we picked a running mate, a person who is a heartbeat away from the presidency."
860,-3,-1,"And as a matter of fact, I think for most people the notion of President Quayle is a very very troubling thought."
868,-3,0,"Well, John, I'm a man that's been a chief executive for ten years."
876,-3,-1,"Somebody who would come to me if somebody came up with a crazy idea that we ought to trade arms to the Ayatollah for hostages and say, Mr."
878,-3,-1,We shouldn't do that. That's the kind of Vice President I want.
881,-3,-1,And I'm very very proud of that choice.
882,-3,-1,And I didn't pick him because he agreed with me on everything.
884,-3,-1,"The fact is I've picked somebody who not only will be a great Vice President, but if, God forbid, something happens to the president, could step into that office and do so with distinction and with strength and with leadership."
886,-3,-1,I doubt very much that Mr. Bush's selection for the Vice Presidency of the United States meets that test.
889,-3,-1,"Well, I-we obviously have a difference."
891,-3,-1,"We'll have an opportunity to see the two of them in action in a friendly forum, wonderful friendly fashion like this."
895,-3,-1,But now we've got the lines too carefully drawn here.
896,-3,-1,But you talk about judgment.
899,-3,-1,"I mean, there's-I don't think this is a fair argument."
900,-3,-1,"But nevertheless, I support my nominee for Vice President and he'll do an outstanding job."
910,-3,-1,"I think it's going to require good, solid credit policies."
912,-3,-1,"I think it's going to require a combination of supply management and reasonable price supports to make sure that our farmers get a decent price and I think it also is going to require an administration that understand that there are tremendous opportunities out there for the development of new uses for agricultural products, new uses which can help us to clean up our environment at the same time."
913,-3,1,"Bio-degradable plastics-plastic-gasohol, which the Vice President has been involved in, road de-icers made from corn products."
914,-3,-1,"I mean, there are enormous opportunities out there to expand markets and to build a strong future for our farmers."
